time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-21T16:30:52.900Z,30.0745,-79.5044,0,3.8,ml,,172,2.269,0.75,us,us10006rzj,2016-10-06T03:13:25.448Z,"170km ENE of Flagler Beach, Florida",experimental explosion,7,2,0.052,48,reviewed,us,us
2016-09-04T18:29:29.800Z,30.0952,-79.5416,0,3.8,ml,,108,2.233,0.79,us,us10006kp2,2016-10-22T13:51:13.070Z,"168km E of Saint Augustine Beach, Florida",experimental explosion,3.8,2,0.049,54,reviewed,us,us
2016-08-10T20:16:27.730Z,43.7099,-105.3857,0,3.3,ml,,78,1.058,0.88,us,us10006cqh,2016-10-26T03:10:25.040Z,"Wyoming",mining explosion,4,1.7,0.052,61,reviewed,us,us
2016-08-10T20:06:50.550Z,43.7783,-105.2971,0,3.3,ml,,51,0.973,0.16,us,us10006cqf,2016-10-26T03:10:25.040Z,"Wyoming",mining explosion,2.5,2,0.054,52,reviewed,us,us
2016-08-09T19:38:52.310Z,43.6113,-105.2305,0,3.4,ml,,38,1.003,1.07,us,us10006cev,2016-10-26T03:10:24.040Z,"Wyoming",mining explosion,5.1,2,0.047,59,reviewed,us,us
2016-08-03T22:14:12.570Z,43.7271,-105.3232,0,3.3,ml,,51,1.01,0.43,us,us100069xq,2016-10-19T04:52:21.040Z,"Wyoming",mining explosion,6.4,2,0.055,53,reviewed,us,us
2016-08-01T20:11:57.580Z,43.7592,-105.2672,0,3.6,ml,,33,0.96,0.97,us,us100069ab,2016-10-19T04:52:08.040Z,"Wyoming",mining explosion,4.6,2,0.042,73,reviewed,us,us
2016-08-01T18:07:01.700Z,43.7614,-105.2955,0,3.3,ml,,51,0.978,1.09,us,us1000699e,2016-10-19T04:52:07.040Z,"Wyoming",mining explosion,4.7,2,0.046,63,reviewed,us,us
2016-07-30T19:42:55.390Z,43.5854,-105.1962,0,3.6,ml,,38,0.995,0.74,us,us100068uq,2016-10-19T04:51:52.040Z,"Wyoming",mining explosion,6.3,2,0.058,51,reviewed,us,us
2016-07-27T19:22:51.610Z,43.7543,-105.4995,0,3.4,ml,,66,1.119,0.7,us,us100069gw,2016-09-24T22:47:22.040Z,"2km WNW of Wright, Wyoming",mining explosion,2,2,0.057,47,reviewed,us,us
2016-07-24T04:47:27.200Z,38.9181,-107.5181,1,3.4,ml,,24,0.496,0.72,us,us20006h6j,2016-09-24T22:47:17.040Z,"8km NE of Paonia, Colorado",rock burst,4.5,2,0.034,116,reviewed,us,us
2016-07-23T16:15:30.610Z,44.0347,-105.2276,0,3.1,ml,,98,0.863,1.34,us,us20006i4d,2016-09-24T22:47:17.040Z,"Wyoming",mining explosion,3,2,0.065,33,reviewed,us,us
2016-07-18T20:08:40.380Z,43.7142,-105.2725,0,3.6,ml,,77,0.981,0.46,us,us20006fm9,2016-09-17T01:27:50.040Z,"Wyoming",mining explosion,4.6,1.7,0.044,67,reviewed,us,us
